  PID  PPID USER         NAME                       
 1309     2 root         [glink-PMIC_LOGS_SOCCP_APPS]
 1310     2 root         [qrtr_rx]
 1311     2 root         [glink-IPCRTR]
 1360     2 root         [irq/60-arm-smmu-context-fault]
 1361     2 root         [irq/61-arm-smmu-context-fault]
 1364     2 root         [adspsleepmon-worker]
 1365     2 root         [irq/62-arm-smmu-context-fault]
 1366     2 root         [irq/63-arm-smmu-context-fault]
 1367     2 root         [kgsl_cooling_worker]
 1368     2 root         [irq/386-msm_cvp]
 1369     2 root         [kworker/R-msm_cvp_workerq_iris]
 1370     2 root         [kworker/R-pm_workerq_iris]
 1372     2 root         [irq/112-arm-smmu-context-fault]
 1373     2 root         [irq/113-arm-smmu-context-fault]
 1374     2 root         [irq/114-arm-smmu-context-fault]
 1375     2 root         [kgsl-events]
 1376     2 root         [cvp-dsp-thread]
 1377     2 root         [kgsl_hwsched]
 1378     2 root         [kworker/R-adreno_tsense_wq]
 1379     2 root         [irq/88-arm-smmu-context-fault]
 1380     2 root         [irq/115-arm-smmu-context-fault]
 1381     2 root         [irq/116-arm-smmu-context-fault]
 1383     2 root         [irq/117-arm-smmu-context-fault]
 1384     2 root         [irq/390-bhi]
 1385     2 root         [kworker/R-dsi_post_cmd_tx_workq]
 1386     2 root         [irq/118-arm-smmu-context-fault]
 1387     2 root         [irq/119-arm-smmu-context-fault]
 1388     2 root         [irq/120-arm-smmu-context-fault]
 1389     2 root         [irq/121-arm-smmu-context-fault]
 1390     2 root         [kworker/R-dsi_post_cmd_tx_workq]
 1391     2 root         [kworker/R-cam-cpas]
 1395     2 root         [kworker/R-qcom,cam_virtual_cdm]
 1396     2 root         [kworker/R-rt-cdm0_0]
 1397     2 root         [kworker/R-rt-cdm0_1]
 1398     2 root         [kworker/R-rt-cdm0_2]
 1399     2 root         [kworker/R-rt-cdm0_3]
 1400     2 root         [kworker/R-rt-cdm1_0]
 1401     2 root         [kworker/R-rt-cdm1_1]
 1402     2 root         [kworker/R-rt-cdm1_2]
 1403     2 root         [kworker/R-rt-cdm1_3]
 1404     2 root         [kworker/R-rt-cdm2_0]
 1405     2 root         [kworker/R-rt-cdm2_1]
 1406     2 root         [kworker/R-rt-cdm2_2]
 1407     2 root         [kworker/R-rt-cdm2_3]
 1408     2 root         [kworker/R-rt-cdm3_0]
 1409     2 root         [kworker/R-rt-cdm3_1]
 1410     2 root         [kworker/R-rt-cdm3_2]
 1411     2 root         [kworker/R-rt-cdm3_3]
 1412     2 root         [kworker/R-rt-cdm4_0]
 1413     2 root         [kworker/R-rt-cdm4_1]
 1414     2 root         [kworker/R-rt-cdm4_2]
 1415     2 root         [kworker/R-rt-cdm4_3]
 1426     2 root         [kworker/R-soc:pmic-glink:ucsi-glink-con1]
 1428     2 root         [irq/389-xiaomi_tpgoodix_ts]
 1430     2 root         [kworker/R-cds_recovery_workqueue]
 1431     2 root         [wlan_logging_thread]
 1433     2 root         [irq/122-arm-smmu-context-fault]
 1438     2 root         [kworker/R-ipa_interrupt_wq]
 1439     2 root         [kworker/R-ipawq36]
 1440     2 root         [kworker/R-iparepwq36]
 1441     2 root         [kworker/R-ipawq33]
 1442     2 root         [kworker/R-iparepwq33]
 1443     2 root         [kworker/R-ipafreepagewq33]
 1444     2 root         [kworker/R-ipawq32]
 1445     2 root         [kworker/R-iparepwq32]
 1446     2 root         [kworker/R-ipa_uc_holb_wq]
 1447     2 root         [kworker/R-clnt_req]
 1471     2 root         [f2fs_ckpt-254:63]
 1473     2 root         [f2fs_flush-254:63]
 1474     2 root         [f2fs_discard-254:63]
 1499     2 root         [f2fs_gc-254:63]
 1530     2 root         [glink_cdsp]
 1531     2 root         [qrtr_rx]
 1532     2 root         [glink-IPCRTR]
 1533     2 root         [irq/443-CCI0]
 1534     2 root         [kworker/R-cam_cci_wq]
 1535     2 root         [kworker/R-cam_cci_wq]
 1536     2 root         [irq/444-CCI1]
 1537     2 root         [kworker/R-cam_cci_wq]
 1538     2 root         [kworker/R-cam_cci_wq]
 1539     2 root         [irq/445-CCI2]
 1540     2 root         [kworker/R-cam_cci_wq]
 1541     2 root         [kworker/R-cam_cci_wq]
 1542     2 root         [glink-mpam-glink-apps-dsp]
 1543     2 root         [irq/123-arm-smmu-context-fault]
 1544     2 root         [irq/124-arm-smmu-context-fault]
 1545     2 root         [irq/125-arm-smmu-context-fault]
 1546     2 root         [irq/126-arm-smmu-context-fault]
 1547     2 root         [irq/127-arm-smmu-context-fault]
 1548     2 root         [irq/128-arm-smmu-context-fault]
 1549     2 root         [irq/129-arm-smmu-context-fault]
 1550     2 root         [irq/130-arm-smmu-context-fault]
 1551     2 root         [irq/131-arm-smmu-context-fault]
 1552     2 root         [irq/132-arm-smmu-context-fault]
 1553     2 root         [irq/133-arm-smmu-context-fault]
 1554     2 root         [glink-fastrpcglink-apps-dsp]
 1555     2 root         [glink-cdsprmglink-apps-dsp]
 1556     2 root         [glink-cvp-glink-apps-dsp]
 1559     2 root         [kworker/R-drm_dp]
 1560     2 root         [disp_feature:0]
 1562     2 root         [disp_feature:1]
 1565     2 root         [irq/422-esd_err_irq]
 1566     2 root         [irq/437-xiaomi_tpsynaptics_tcm]
 1567     2 root         [irq/423-esd_err_irq]
 1568     2 root         [kworker/R-sdm_dp_audio_notify]
 1569     2 root         [kworker/R-hdcp_1x_1]
 1570     2 root         [hdcp_2x]
 1571     2 root         [dp_hdcp2p2]
 1572     2 root         [crtc_commit:218]
 1573     2 root         [crtc_event:218]
 1574     2 root         [crtc_commit:285]
 1575     2 root         [crtc_event:285]
 1576     2 root         [crtc_commit:294]
 1577     2 root         [crtc_event:294]
 1578     2 root         [crtc_commit:303]
 1579     2 root         [crtc_event:303]
 1580     2 root         [crtc_commit:312]
 1581     2 root         [crtc_event:312]
 1582     2 root         [crtc_commit:321]
 1583     2 root         [crtc_event:321]
 1584     2 root         [crtc_commit:330]
 1585     2 root         [crtc_event:330]
 1586     2 root         [crtc_commit:339]
 1587     2 root         [crtc_event:339]
 1588     2 root         [pp_event]
 1589     2 root         [card0-crtc0]
 1590     2 root         [card0-crtc1]
